distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
2936.408,2947.928,GW2630,5.411694722,-72.32047917,281.913,355.6,9.53,60000,11.52,ERW
2947.928,2960.117,GW2640,5.411658611,-72.32057694,281.596,355.6,9.53,60000,12.189,ERW
2960.117,2961.634,GW2650,5.411614444,-72.32067806,281.469,355.6,9.53,60000,1.517,ERW
2961.634,2964.063,GW2660,5.411609722,-72.32069111,281.486,355.6,12.7,60000,2.429,ERW
2964.063,2976.203,GW2670,5.4116025,-72.32071167,281.511,355.6,12.7,60000,12.14,ERW
2976.203,2983.843,GW2680,5.411548056,-72.32080639,281.234,355.6,12.7,60000,7.64,ERW
2983.843,2995.955,GW2690,5.411503889,-72.32085944,280.728,355.6,12.7,60000,12.112,ERW
2995.955,3008.077,GW2700,5.411434722,-72.32094417,279.635,355.6,12.7,60000,12.122,ERW
3008.077,3020.308,GW2710,5.411365556,-72.32102917,278.548,355.6,12.7,60000,12.231,ERW
3020.308,3028.855,GW2720,5.411295,-72.32111444,278.02,355.6,12.7,60000,8.547,ERW
3028.855,3041.142,GW2730,5.411245,-72.32117361,278.102,355.6,12.7,60000,12.287,ERW
